state,year,num_colonies,yield_per_colony,total_production_lbs,stocks_lbs,price_per_lb,prodvalue_dollars
AL,1995,16000,58,928000,204000,0.67,622000
AL,1996,15000,64,960000,250000,0.88,845000
AL,1997,14000,66,924000,194000,0.92,850000
AL,1998,16000,71,1136000,261000,0.73,829000
AL,1999,17000,68,1156000,289000,0.65,751000
CA,2015,460000,48,22080000,5300000,2.15,47472000
CA,2018,490000,52,25480000,6100000,2.28,58094400
FL,2020,250000,56,14000000,3200000,2.45,34300000
TX,2021,135000,62,8370000,1950000,2.52,21092400
ND,2021,510000,74,37740000,8300000,2.35,88689000
